,favorite_count,retweet_count,tweet_id
0,38489,8472,892420643555336193
1,32964,6237,892177421306343426
2,24829,4133,891815181378084864
3,41857,8597,891689557279858688
4,40017,9327,891327558926688256
5,20073,3094,891087950875897856
6,11753,2056,890971913173991426
7,64971,18794,890729181411237888
8,27594,4241,890609185150312448
9,31677,7362,890240255349198849
10,30437,7293,890006608113172480
11,27572,4946,889880896479866881
12,47766,10004,889665388333682689
13,26950,4519,889638837579907072
14,14984,2225,889531135344209921
15,25104,5390,889278841981685760
16,28869,4475,888917238123831296
17,25394,4299,888804989199671297
18,19739,3559,888554962724278272
19,21595,3475,888078434458587136
20,29938,5364,887705289381826560
21,45898,11612,887517139158093824
22,68591,18105,887473957103951883
23,33421,10345,887343217045368832
24,30316,5929,887101392804085760
25,34910,7733,886983233522544640
26,11968,3273,886736880519319552
27,22251,4440,886680336477933568
28,21039,3185,886366144734445568
29,116,4,886267009285017600
30,27778,6238,886258384151887873
31,0,104,886054160059072513
32,32456,6774,885984800019947520
33,35718,6394,885528943205470208
34,20284,3743,885518971528720385
35,0,18498,885311592912609280
36,21771,4359,885167619883638784
37,76942,18340,884925521741709313
38,27732,5754,884876753390489601
39,24127,4838,884562892145688576
40,26782,5621,884441805382717440
41,72495,20355,884247878851493888
42,20225,2968,884162670584377345
43,21739,3428,883838122936631299
44,45600,9917,883482846933004288
45,22405,3660,883360690899218434
46,36945,6645,883117836046086144
47,23789,3901,882992080364220416
48,28101,4896,882762694511734784
49,27715,6065,882627270321602560
50,44649,11545,882268110199369728
51,29127,4952,882045870035918850
52,24124,3387,881906580714921986
53,50181,10622,881666595344535552
54,126,7,881633300179243008
55,49101,15892,881536004380872706
56,22920,5141,881268444196462592
57,16886,2770,880935762899988482
58,21132,3802,880872448815771648
59,28326,6266,880465832366813184
60,26870,4210,880221127280381952
61,27427,4351,880095782870896641
62,22173,3483,879862464715927552
63,310,10,879674319642796034
64,23245,3175,879492040517615616
65,105114,44046,879415818425184262
66,16651,3111,879376492567855104
67,0,6825,879130579576475649
68,22424,4705,879050749262655488
69,18847,2680,879008229531029506
70,19279,4122,878776093423087618
71,30065,7191,878604707211726852
72,0,1285,878404777348136964
73,0,6640,878316110768087041
74,7696,1285,878281511006478336
75,41756,6825,878057613040115712
76,79346,19083,877736472329191424
77,0,80,877611172832227328
78,22582,3810,877556246731214848
79,27194,5168,877316821321428993
80,26933,5580,877201837425926144
81,20545,3347,876838120628539392
82,23311,4615,876537666061221889
83,18639,2393,876484053909872640
84,27730,4684,876120275196170240
85,25043,4291,875747767867523072
86,21786,4923,875144289856114688
87,27275,6035,875097192612077568
88,25324,4713,875021211251597312
89,27679,4653,874680097055178752
90,0,14780,874434818259525634
91,25927,4123,874296783580663808
92,22531,3961,874057562936811520
93,34457,10469,874012996292530176
94,24124,3959,873580283840344065
95,0,1593,873337748698140672
96,7217,1593,873213775632977920
97,27265,5426,872967104147763200
98,14668,3708,872820683541237760
99,0,28,872668790621863937
100,20710,3719,872620804844003328
101,40560,9053,872486979161796608
102,34119,6368,872261713294495745
103,34364,8166,872122724285648897
104,37966,11280,871879754684805121
105,20230,3502,871762521631449091
106,20178,3478,871515927908634625
107,0,5742,871166179821445120
108,20911,5549,871102520638267392
109,22631,3844,871032628920680449
110,33612,6265,870804317367881728
111,120,3,870726314365509632
112,12415,2671,870656317836468226
113,82720,26498,870374049280663552
114,21838,4202,870308999962521604
115,36754,8456,870063196459192321
116,42458,10156,869772420881756160
117,28298,6417,869702957897576449
118,16016,3173,869596645499047938
119,20503,3838,869227993411051520
120,65909,14735,868880397819494401
121,0,2133,868639477480148993
122,27349,5862,868622495443632128
123,10192,2133,868552278524837888
124,24319,4243,867900495410671616
125,34210,7472,867774946302451713
126,16239,2569,867421006826221569
127,0,128,867072653475098625
128,32468,8028,867051520902168576
129,20242,4912,866720684873056260
130,19481,3554,866686824827068416
131,123303,36008,866450705531457537
132,53087,14780,866334964761202691
133,0,8575,866094527597207552
134,25843,5741,865718153858494464
135,26748,5115,865359393868664832
136,28302,7865,865006731092295680
137,32653,8938,864873206498414592
138,14783,3118,864279568663928832
139,30529,9178,864197398364647424
140,20865,4245,863907417377173506
141,15490,4281,863553081350529029
142,0,2534,863471782782697472
143,24132,5399,863432100342583297
144,2292,99,863427515083354112
145,8887,1125,863079547188785154
146,8654,2534,863062471531167744
147,19452,5228,862831371563274240
148,17318,3634,862722525377298433
149,20843,5105,862457590147678208
150,75782,24000,862096992088072192
151,36630,11020,861383897657036800
152,17467,4293,861288531465048066
153,16988,3925,861005113778896900
154,0,2232,860981674716409858
155,0,844,860924035999428608
156,7639,2232,860563773140209665
157,24033,5437,860524505164394496
158,18607,3589,860276583193509888
159,16982,6026,860184849394610176
160,0,31926,860177593139703809
161,19898,4236,859924526012018688
162,15684,3628,859851578198683649
163,18943,1624,859607811541651456
164,91775,31326,859196978902773760
165,34570,14085,859074603037188101
166,0,8442,858860390427611136
167,15850,3601,858843525470990336
168,21958,5023,858471635011153920
169,16069,3024,858107933456039936
170,16464,2685,857989990357356544
171,35019,11042,857746408056729600
172,6059,1707,857393404942143489
173,20475,4708,857263160327368704
174,235,18,857214891891077121
175,0,178,857062103051644929
176,19371,4168,857029823797047296
177,0,11150,856602993587888130
178,16658,3003,856543823941562368
179,12114,1957,856526610513747968
180,0,709,856330835276025856
181,531,17,856288084350160898
182,28414,6606,856282028240666624
183,356,28,855862651834028034
184,5159,1083,855860136149123072
185,12145,2212,855857698524602368
186,46595,18521,855851453814013952
187,27293,5695,855818117272018944
188,30775,8629,855459453768019968
189,0,6271,855245323840757760
190,0,48,855138241867124737
191,23524,6419,854732716440526848
192,30210,7231,854482394044301312
193,19485,4933,854365224396361728
194,32977,7904,854120357044912130
195,16712,3317,854010172552949760
196,29559,6118,853760880890318849
197,36076,10706,853639147608842240
198,16058,3762,853299958564483072
199,0,2140,852936405516943360
200,9378,1946,852912242202992640
201,15453,2278,852672615818899456
202,16971,3726,852553447878664193
203,34364,10493,852311364735569921
204,20766,7221,852226086759018497
205,11894,1675,852189679701164033
206,0,10241,851953902622658560
207,0,23,851861385021730816
