account_name,created_at,display_name,friends_count,language,location,user_id
dog_rates,Sun Nov 15 21:41:29 +0000 2015,WeRateDogs™,10,en,⇩ merch ⇩         DM YOUR DOGS,4196983835
tta_kay,Sat Jul 05 17:06:22 +0000 2014,kay,479,en,not given,2676442024
Adeline_Garrett,Fri Apr 26 16:34:47 +0000 2013,outofline carrot 🦊,415,en,912•LDN,1382344291
gwatsky,Sun Jan 10 03:38:19 +0000 2010,W▵TSKY,865,en,yeah,103467620
SmilingYoshi,Sun Jun 12 20:38:49 +0000 2011,SmilingYoshi,1412,en,Here.,316025613
dirtysandwiz,Wed Jan 11 01:45:53 +0000 2012,ariel,170,en,not given,460712007
jwiley,Thu Jan 15 01:05:39 +0000 2009,wiley,136,en,"San Francisco, CA",19004684
PuppysFamily,Fri Oct 31 23:06:35 +0000 2014,PuppysFamily,1304,en,not given,2853988156
cheyeeezy,Mon Aug 02 16:40:08 +0000 2010,♡BUNNY♡,287,en,not given,173894827
Marg_aret_Moore,Thu Jul 16 01:19:39 +0000 2009,Margaret Moore,984,en,"New York, NY",57199686
IefWeb,Mon May 26 13:32:49 +0000 2014,ief web,164,de,not given,2565285539
DanielAMorrow,Wed Sep 02 19:12:04 +0000 2009,Dan Morrow,705,en,Halloweentown/NY,71047424
krista_thomas,Sun Dec 30 07:11:05 +0000 2012,Krista Thomas,318,en,Sydney,1047098184
OCTOBYGON,Fri Sep 30 00:38:30 +0000 2011,back to shoe huffin',233,en,だってばよ,382398709
smilingwithalex,Mon May 25 04:05:33 +0000 2015,Alexandra Balmaceda,235,en,MYLead,3297407687
lassalinenikki,Thu Oct 03 13:45:04 +0000 2013,nicole,334,en,not given,1930798190
elexa23,Wed Sep 25 15:27:02 +0000 2013,Elexa,185,en,not given,1904545938
paperlessVP,Wed Nov 10 03:41:16 +0000 2010,ℝ𝕪𝕒𝕟 𝕃𝕒𝕣𝕠𝕤𝕖,221,en,"Ottawa, Ontario",213928138
scknurr,Fri Jun 19 04:01:02 +0000 2009,steven knurr,1354,en,"Madison, WI",48603051
DylaaaanWelchel,Wed Jul 14 06:26:20 +0000 2010,Dylan Welchel,467,en,not given,166467962
m_brohman,Tue Oct 08 13:28:21 +0000 2013,Captain Morgen,150,en,Ft. Lauderdale,1946918258
josielee2001,Sun Dec 30 16:55:17 +0000 2012,josie lee,318,en,not given,1048324476
SAGETHELEO,Sat Sep 03 03:06:31 +0000 2011,sage,667,en,not given,366942154
christiantayy,Fri Feb 18 03:19:38 +0000 2011,Christian Taylor,364,en,"Ponte Vedra Beach, Florida",253858464
sheikamiiibo,Thu Apr 02 05:14:42 +0000 2015,cole 🐝,241,en,🏳️‍🌈,3129066271
em_seebold,Wed Apr 15 22:22:12 +0000 2009,Emily Seebold,258,en,mn/ UND,31541656
Ashton91230,Sat Dec 24 05:22:01 +0000 2011,Mere,316,en,Snap & IG: Ashton91230,445241779
dootinriggins,Mon Jun 30 19:23:18 +0000 2014,Slim Vic,465,en,"Charlotte, NC",2596783176
theleahmarie,Wed Sep 08 23:24:44 +0000 2010,Leroy,447,en,"Fargo (like the movie), ND",188530098
cdleonhart,Thu Apr 29 00:24:03 +0000 2010,Christa,443,en,"Raleigh, NC",138231816
ALOHALEXI,Mon Nov 24 22:49:11 +0000 2014,bvggedlex,167,en,IG: BVGGEDLEX,2909473117
misslopez_06,Sat Jan 12 20:04:54 +0000 2013,alexandra,619,en,"Tucson, AZ",1084000633
Korean_69,Fri Dec 11 17:33:48 +0000 2015,Blakely Forneyweert,30,en,not given,4530365172
druguimond,Tue Sep 25 20:56:52 +0000 2012,Dru Guimond,289,en,not given,846223303
AudreyBoos,Thu Apr 17 20:33:29 +0000 2014,Audrey Boos,101,en,"Los Angeles, CA",2450397781
krist3nnn,Tue Jun 21 03:37:19 +0000 2011,Kristen Kuhns,374,en,not given,321160011
claire6547,Tue Jul 10 12:34:58 +0000 2012,Claire Carlson,475,en,"Duluth, MN",631944212
emmamarie_99,Sun Jan 09 15:13:31 +0000 2011,Emma,313,en,not given,235992826
kt__snyder,Wed Dec 25 20:40:24 +0000 2013,kate,535,en,ohio,2261883156
jillbrennan_,Thu May 31 21:01:11 +0000 2012,Jill Brennan,302,en,not given,595826788
JessieBayless15,Mon May 27 01:57:04 +0000 2013,jess,419,en,not given,1461029406
MeredithUsry,Mon Aug 11 23:57:54 +0000 2014,mer,312,en,TX,2724926246
StephHerold,Tue Jun 02 23:33:42 +0000 2009,Steph Herold,1084,en,"Queens, NY",44238517
oldpaledrake,Fri Jul 31 04:04:15 +0000 2009,『R Y A N』,1294,en,The Own Zone,61686723
ErinLPeters,Sat Sep 01 01:24:55 +0000 2012,Erin,396,en,not given,795052568
beasreflection,Tue Jan 15 07:56:42 +0000 2013,Knee,190,en,not given,1091352914
katt_samm,Thu Oct 17 11:56:49 +0000 2013,Katelynn Samuelsen,264,en,"flavortown, usa",719018571
TinyIrishGuy,Sun Sep 02 03:55:29 +0000 2012,David Hays,231,en,1 AU,797448714
MadelynJ925,Sun Dec 25 17:58:42 +0000 2011,Maddie,283,en,The Stars,446413717
hannah_lead,Tue Jul 17 03:27:27 +0000 2012,hannah,247,en,not given,700279940
sarahjkjc,Thu Apr 09 02:29:47 +0000 2009,Sarah Cowell,521,en,"Highlands Ranch & Eagle, CO",29897242
evangeIinapaola,Thu Feb 26 04:12:24 +0000 2015,Eve,194,en,not given,3042367718
leillz,Sun Dec 23 02:16:12 +0000 2012,Leila🌻,254,en,hotlanta,1029681931
LeighAnnATL,Mon Jun 13 01:56:55 +0000 2011,Leigh Ann,860,en,Georgia,316174648
Emma_C_Price,Tue Oct 02 21:39:39 +0000 2012,Emma Price,218,en,United States,858749160
PRlNCESSEMMA,Mon Jun 18 23:30:50 +0000 2012,emma,316,en,"Portland, OR",612175389
AshleyStokesss,Mon Dec 22 00:02:47 +0000 2014,ASHLEY STOKES,647,en,kody green ,2938714386
KESS_and_tell,Tue Mar 29 23:24:54 +0000 2011,Kessler McGarry,227,en,b-town,274212280
baby_kanga_roo,Mon Jan 18 03:10:40 +0000 2016,Baby Kangaroo,78,en,the outback ,4776485599
peytonhauser,Sat Feb 02 16:45:09 +0000 2013,peyton,228,en,not given,1142879252
ryan_laviolette,Sun Mar 18 15:51:40 +0000 2012,Ryan LaViolette,307,en,"Omaha, NE",528620551
mckenna_culbert,Fri Feb 17 02:33:39 +0000 2012,Kenna,357,en,"Tucson, AZ",494609892
TheRyanTown,Tue Jun 11 22:06:30 +0000 2013,Ryan Town,179,en,"Thousand Oaks, CA",1507104967
shannon_mgott,Sat Aug 25 21:05:42 +0000 2012,Shan,239,en,shanflower,781093526
ClaudiaCordner,Fri Feb 13 00:28:38 +0000 2015,Claudia Cordner,263,en,not given,3033700529
Manweath,Thu Dec 22 15:55:00 +0000 2011,Matthew Weathersby,842,en,not given,443831236
asdfghjill,Tue Apr 15 23:10:06 +0000 2014,jill,85,en,New York,2446182236
5MinuteTrade,Mon Apr 06 01:48:30 +0000 2009,Lawrence of Arabia,226,en,Where you are not,29118011
lott_elizabethh,Thu Feb 24 01:25:56 +0000 2011,liz 💀,138,en,not given,256766932
HytenDavidson,Wed Jan 13 16:10:37 +0000 2016,Hyten Davidson,756,en,not given,4795617695
onedogsopinion,Tue Nov 20 14:43:01 +0000 2012,One Dog's Opinion,860,en,"Brooklyn, NY",960586848
mckaylabrookee,Sat Sep 26 16:09:07 +0000 2015,McKayla Miller,236,en,not given,3694263373
lliw_seniag,Sat Oct 20 01:21:33 +0000 2012,LORD WILLING,1177,en,"Hockinson, WA",892204027
JackieHansen010,Mon Oct 10 02:48:47 +0000 2011,Jackie Hansen,314,en,not given,388043436
